
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   8980 Services                   0     11ÿ348 K
svchost.exe                   7928 Services                   0     12ÿ732 K
SkypeBackgroundHost.exe       4776 Console                    1     10ÿ420 K
SkypeApp.exe                  9548 Console                    1     33ÿ352 K
SearchIndexer.exe             9224 Services                   0     35ÿ968 K
sedlauncher.exe              10660 Services                   0      3ÿ568 K
conhost.exe                  10888 Services                   0        528 K
RuntimeBroker.exe            10768 Console                    1     24ÿ180 K
svchost.exe                   8420 Services                   0      9ÿ380 K
sedsvc.exe                    8540 Services                   0      7ÿ676 K
SgrmBroker.exe                9984 Services                   0      4ÿ764 K
TuneupSvc.exe                 1856 Services                   0     24ÿ988 K
TuneupUI.exe                  2176 Console                    1     16ÿ268 K
Microsoft.Photos.exe         10900 Console                    1     14ÿ696 K
RuntimeBroker.exe             9972 Console                    1     18ÿ580 K
RuntimeBroker.exe             7584 Console                    1     22ÿ100 K
svchost.exe                   8404 Services                   0     13ÿ208 K
SkypeBridge.exe               2576 Console                    1     36ÿ684 K
rundll32.exe                  9776 Console                    1      5ÿ328 K
dllhost.exe                   8400 Console                    1      8ÿ232 K
AIMP.exe                      5200 Console                    1     22ÿ988 K
audiodg.exe                   1948 Services                   0     12ÿ472 K
cmd.exe                       8044 Console                    1     15ÿ400 K
conhost.exe                   9180 Console                    1     10ÿ904 K
Taskmgr.exe                   6900 Console                    1     53ÿ592 K
ApplicationFrameHost.exe     10720 Console                    1     23ÿ104 K
mmc.exe                       9188 Console                    1     27ÿ016 K
WmiPrvSE.exe                 11076 Services                   0     11ÿ632 K
svchost.exe                  11252 Services                   0      6ÿ788 K
svchost.exe                  10844 Services                   0      8ÿ032 K
backgroundTaskHost.exe       11208 Console                    1      4ÿ372 K
tasklist.exe                  8804 Console                    1      7ÿ676 K
